datetime,underlying_price,NIFTY27JAN2625200CE,NIFTY27JAN2625300CE,NIFTY27JAN2625400CE,NIFTY27JAN2625500CE,NIFTY27JAN2625600CE,NIFTY27JAN2625700CE,NIFTY27JAN2625800CE,NIFTY27JAN2625900CE,NIFTY27JAN2626000CE,NIFTY27JAN2626100CE,NIFTY27JAN2626200CE,NIFTY27JAN2626300CE,NIFTY27JAN2626400CE,NIFTY27JAN2626500CE,NIFTY27JAN2623800PE,NIFTY27JAN2623900PE,NIFTY27JAN2624000PE,NIFTY27JAN2624100PE,NIFTY27JAN2624200PE,NIFTY27JAN2624300PE,NIFTY27JAN2624400PE,NIFTY27JAN2624500PE,NIFTY27JAN2624600PE,NIFTY27JAN2624700PE,NIFTY27JAN2624800PE,NIFTY27JAN2624900PE,NIFTY27JAN2625000PE,NIFTY27JAN2625100PE,hour,minute
2026-01-07 09:15:00,26111.65,0.12662,0.1233,0.11741,0.11034099565085037,0.11005,0.10576,0.09874725107100367,0.09724,0.0957,0.09397,0.09187,0.09041,0.08908,0.08795,0.1784,0.17237,0.16928,0.16387544838449705,0.1576,0.1524,0.14697,0.14105,0.13613,0.13085,0.1264,0.12142,0.11631,0.1115,9,15
2026-01-07 09:20:00,26141.4,0.08632,0.10033020201613164,0.103422268924786,0.11779,0.11197,0.11028,0.09878610302033435,0.09551999753471575,0.09837,0.09619,0.09413,0.09236,0.09057,0.08925,0.17962,0.17477,0.1714216792962054,0.16534,0.15975152773410634,0.1542,0.14753,0.14274,0.13849,0.13282,0.1271369363560778,0.12363,0.11640288408614032,0.11353,9,20
2026-01-07 09:25:00,26139.35,0.09147,0.10476682925403687,0.09514,0.09933,0.09599,0.09204,0.09216,0.08954,0.08996,0.08861,0.08697,0.08627,0.08541,0.08741734456765338,0.1801,0.17574,0.17154,0.16567,0.15927,0.15293989698274252,0.14919,0.14245,0.13806,0.13242,0.12877,0.12349,0.11817,0.11029458062432257,9,25
2026-01-07 09:30:00,26128.95,0.1086,0.10842,0.1115,0.12248,0.10715,0.11098,0.10345,0.09565697409694121,0.09864,0.09511,0.09304,0.09123,0.08776870011112056,0.08843,0.18174,0.17557252374458104,0.17206,0.16502,0.15755,0.15278906616699467,0.14691,0.14209,0.13721,0.13184,0.12722,0.12252,0.11729,0.112,9,30
2026-01-07 09:35:00,26131.9,0.10462,0.10538,0.12459,0.12051,0.11225,0.11294,0.10544,0.09567712344759055,0.09896,0.09193851617170942,0.09412,0.09136,0.09014,0.08885,0.18193,0.17558274430013662,0.17226,0.16522,0.15924,0.15334,0.14784,0.1423,0.13712433343068653,0.13219,0.12733,0.12295,0.11707,0.11028648668201488,9,35
2026-01-07 09:40:00,26145.15,0.07079,0.07639,0.08313,0.08523,0.10480134667919115,0.08734,0.09926333059000461,0.09561504165432899,0.0845,0.08386,0.0912972072627914,0.08301,0.08262,0.08249,0.18277,0.1782,0.17265,0.16631,0.15883,0.15343,0.14961,0.14337,0.1382,0.13313,0.12864,0.12374,0.11872,0.11082111278513315,9,40
2026-01-07 09:45:00,26113.1,0.124369051713092,0.11837,0.10826,0.11514,0.1083,0.1055,0.10226,0.09574379060773515,0.09741,0.09438,0.09237,0.09075,0.08776870011112056,0.08809,0.18107,0.17468,0.1704,0.16426,0.157,0.15289,0.14697,0.14089,0.13571,0.13075,0.12599,0.12096,0.115323974769927,0.11071,9,45
2026-01-07 09:50:00,26110.0,0.12409675593975558,0.12087,0.10978,0.11214211342399842,0.10521366722304666,0.10476,0.09939,0.0968,0.09542,0.09316,0.09122,0.08945,0.08776870011112056,0.08699,0.1805508521992395,0.1745,0.17045,0.16386,0.15681,0.15155,0.14694,0.14123467379132104,0.13566,0.13068,0.12601,0.11996001322092824,0.11607,0.11095,9,50
2026-01-07 09:55:00,26108.9,0.13029,0.12175,0.13487,0.11212380195092411,0.12009,0.11328,0.09864704235168537,0.09580226489394507,0.10426,0.10032,0.09739,0.09479,0.09256,0.09083,0.18084,0.17444,0.16945,0.16358,0.15675,0.15227343421839093,0.14636,0.14063,0.1353,0.1298935805268025,0.12571,0.12047,0.11525715012604594,0.10983,9,55
2026-01-07 10:00:00,26140.3,0.09239,0.0877,0.115,0.11531,0.11123,0.10752,0.10161,0.09567667796666422,0.09747,0.09194770748480716,0.09255,0.09062,0.08911,0.08741734456765338,0.1828,0.17745,0.1717,0.16515,0.16067,0.15356,0.1481,0.14259,0.13739690530164303,0.13216,0.12774,0.12248,0.11636781996485455,0.1122,10,0
2026-01-07 10:05:00,26142.95,0.11857260674134289,0.08237,0.11304,0.112779636413791,0.11037,0.11308,0.11004,0.10336,0.10275,0.09909,0.09616,0.08823279301297321,0.09181,0.09023,0.18298,0.17622,0.1714,0.16534,0.15961,0.15374,0.14828,0.14278,0.13766,0.13236,0.12794,0.12247,0.11739,0.11183,10,5
2026-01-07 10:10:00,26159.15,0.10591,0.11189,0.09886,0.11141257349949482,0.10571571829995252,0.10359622098220327,0.10588,0.09560282316509375,0.09502132177743668,0.09746,0.09524,0.09264,0.09117,0.08945,0.18216236815799902,0.17607137949968135,0.17292,0.16683,0.15993346074385031,0.15501,0.14937,0.14421,0.13893,0.1335,0.12947,0.12462,0.11843,0.11309,10,10
2026-01-07 10:15:00,26183.8,0.12049,0.09722,0.11136,0.09406,0.09202,0.10351910632189984,0.09326,0.08786,0.08838,0.09195657495667733,0.09136114507012318,0.08527,0.08415,0.08746893150215376,0.18267,0.17613805396066315,0.17425,0.16842,0.16269,0.15663,0.15173,0.14572,0.14048,0.13536,0.13028,0.12548,0.12019,0.115,10,15
2026-01-07 10:20:00,26169.15,0.13492,0.11376,0.12267,0.11122274494346815,0.10785,0.10349440692949949,0.09695,0.09399,0.09285,0.09195657495667733,0.08918,0.08778,0.08646,0.08546,0.18381,0.17694,0.17196849623639693,0.1675,0.16035932018320198,0.15375299901777517,0.15024,0.1437970044384472,0.13994,0.13449,0.12949,0.12431,0.11901,0.11379,10,20
2026-01-07 10:25:00,26152.25,0.14819,0.11685,0.1055,0.10144,0.10570397231686574,0.10345677564447393,0.09325,0.09388,0.0911,0.09191944788174078,0.08801,0.08672,0.0857,0.08459,0.18279,0.1759,0.1714909824996586,0.16543763888283233,0.16026,0.15459,0.14949,0.14378,0.13834,0.13291,0.12889,0.1234,0.11784,0.11258,10,25
